archived_concentration_percentile_curve,start_ppm_at_first_negative_year_timebound,end_ppm_after_final_canonical_flux,cumulative_drawdown_ppm,apparent_atmospheric_response_fraction
p05,425.8274524867071,308.6023612099468,117.22509127676028,0.5677553952595099
p50,431.3443428826747,311.4043049227279,119.94003795994684,0.5809046759334049
p95,435.28457994259406,314.04746553821883,121.23711440437523,0.5871867964365113
