emissions_through_year,fair_timebound_after_flux,cumulative_net_removal_gtco2,fair_p50_cumulative_drawdown_ppm,atmospheric_mass_decrease_equivalent_gtco2,cumulative_apparent_atmospheric_response_fraction
2101,2102,798.718805041839,79.2508746571732,615.7792960862357,0.7709588057764328
2102,2103,811.7328819876832,80.12483982243032,622.5700054202836,0.7669641322103422
2103,2104,824.7443741372913,80.9725059694565,629.156371382677,0.762850152255715
2104,2105,837.7533056070415,81.81904844666576,635.7340064305929,0.7588558614757549
2105,2106,850.7597006909907,82.6672815610321,642.3247777292194,0.755001414861941
2106,2107,863.7635840084529,83.50422525716357,648.8278302481609,0.751163677492812
2107,2108,876.7649806090914,84.34028441156318,655.3240098778458,0.7474340608615437
2108,2109,889.763916046391,85.15867907755961,661.6829364326381,0.7436612392338676
2109,2110,902.7604164276615,85.99378684772876,668.1717238068524,0.740142912391854
2110,2111,915.7545084466773,86.80404008847802,674.4673914874742,0.7365155019891962
2111,2112,928.7462194035296,87.62818426172254,680.8709917135841,0.733107685919692
2112,2113,941.735577215112,88.43744309014329,687.1589328104134,0.7296729033456193
2113,2114,954.7226104187959,89.25767343238738,693.5321225696499,0.7264226436047504
2114,2115,967.7073481712047,90.05881902851308,699.7570238515466,0.7231081020248149
2115,2116,980.6898202435093,90.85501811213175,705.9434907312636,0.7198438039827669
2116,2117,993.6700570142997,91.65707649309877,712.1754843513775,0.7167122319165633
2117,2118,1006.6480894608184,92.44781862823015,718.3195507413483,0.713575636075657
2118,2119,1019.6239491491336,93.23340008306445,724.4235186454108,0.7104810741743908
2119,2120,1032.597668223679,94.00297159608493,730.4030893015799,0.7073452824642266
2120,2121,1045.56927939647,94.77936357840929,736.4356550042402,0.7043394153941958
2121,2122,1058.538662462352,95.54669931384893,742.3978536686062,0.701342218281999
2122,2123,1071.5057340067535,96.32021232780232,748.408049787024,0.6984638775459011
2123,2124,1084.4682643189246,97.08707970800458,754.3666093311956,0.6956096680292975
2124,2125,1097.425978268517,97.84397514975615,760.2476869136052,0.6927553219699604
2125,2126,1110.3788684878987,98.61316083921844,766.2242597207272,0.690056593713966
2126,2127,1123.32692812481,99.38616600771013,772.2305098799077,0.6874494775701728
2127,2128,1136.2701508304112,100.12843610615664,777.9979485448371,0.6846945226680988
2128,2129,1149.2085307475788,100.89918436715669,783.9866625328075,0.6821970439279731
2129,2130,1162.1420624994391,101.6329481281204,789.6880069554954,0.6795107349071419
2130,2131,1175.070741178139,102.3591321231944,795.3304565972204,0.6768362352378999
2131,2132,1187.9945623338474,103.09636761609369,801.0587763770479,0.6742949856633572
2132,2133,1200.9135219639822,103.831586416172,806.7714264536564,0.6717981034423335
2133,2134,1213.8276165026605,104.55316669237612,812.3781051997624,0.6692697498022215
2134,2135,1226.7368428103641,105.2682997709145,817.9346892200056,0.6667564392589508
2135,2136,1239.6411981638203,105.9964087623867,823.5920960837445,0.6643794166438358
2136,2137,1252.5406802460882,106.71785122537705,829.1977040211796,0.6620125933620504
2137,2138,1265.4352871368533,107.43751637582432,834.7895022401549,0.6596856518273105
2138,2139,1278.3250173029196,108.13192723740241,840.1850746346166,0.65725466001384
2139,2140,1291.2098695888994,108.84919009295817,845.7582070222849,0.6550121920083841
2140,2141,1304.089843208095,109.53549773088906,851.0908173690079,0.6526320420342376
2141,2142,1316.9649377335702,110.2422898508197,856.582592140869,0.6504217140473034
2142,2143,1329.835153089405,110.92773233461446,861.9084802399543,0.6481318216303823
2143,2144,1342.7004895421323,111.62285180758238,867.309558544915,0.6459441739242026
2144,2145,1355.560947692353,112.32650588436309,872.7769507215012,0.6438492877854575
2145,2146,1368.4165284665232,113.00039917653692,878.0131016016918,0.6416270801592934
2146,2147,1381.2672331089136,113.68115183001419,883.3025497192102,0.6394870800859441
2147,2148,1394.1130631737346,114.37037933492638,888.6578474323779,0.6374359949036883
2148,2149,1406.9540205174262,115.03405258855571,893.8145886130778,0.6352834389601201
2149,2150,1419.7901072911081,115.71788892195354,899.127996923579,0.6332823368089755
2150,2151,1432.6213259331869,116.3753383438193,904.2363789314759,0.6311761262819892
2151,2152,1445.4476791621164,117.05236145241577,909.4968484852704,0.629214645121212
2152,2153,1458.2691699693112,117.6982070065859,914.5150684411724,0.6271236389509751
2153,2154,1471.0858016122058,118.35039592958356,919.5825763728642,0.6251046508402616
2154,2155,1482.2653533315852,118.79751985721163,923.0567292905342,0.6227337954137858
2155,2156,1492.9410225097497,119.24191244914243,926.5096597298367,0.6205936107056005
2156,2157,1502.7704535496416,119.59184757204872,929.2286556348186,0.6183437087413584
2157,2158,1508.8252868751033,119.53958239799783,928.8225552324432,0.615593179218323
2158,2159,1514.3792712128452,119.50104358681966,928.5231086695887,0.6131377563864484
