year,sector,energy_related,gross_emissions_gtco2,dirty_stock_fraction,annual_transition_investment_usd_tn,cumulative_transition_investment_usd_tn,learning_factor,natural_clean_retirement_fraction,early_retirement_fraction
2026,Power,True,13.8,1.0,0.0,0.0,1.0,0.0,0.0
2026,Industry,True,9.2,1.0,0.0,0.0,1.0,0.0,0.0
2026,Road transport,True,6.1,1.0,0.0,0.0,1.0,0.0,0.0
2026,Buildings,True,3.0,1.0,0.0,0.0,1.0,0.0,0.0
2026,Aviation and shipping,True,2.2,1.0,0.0,0.0,1.0,0.0,0.0
2026,Other energy,True,4.1,1.0,0.0,0.0,1.0,0.0,0.0
2026,Land-use CO2,False,3.8,1.0,0.0,0.0,1.0,0.0,0.0
2027,Power,True,13.464812145643764,0.9581609464629465,0.7207605214399609,0.7207605214399609,0.9667462030390501,0.03333333333333333,0.008505720203720167
2027,Industry,True,9.076187362204143,0.9735663584267238,0.4239319712340981,0.4239319712340981,1.0,0.026433641573276247,0.0
2027,Road transport,True,5.9424223935355736,0.9591106285045679,0.4371780511217058,0.4371780511217058,1.0,0.0408893714954322,0.0
2027,Buildings,True,2.961010010877338,0.9744584505713004,0.2275694227597135,0.2275694227597135,1.0,0.025541549428699552,0.0
2027,Aviation and shipping,True,2.2154405813712086,0.9872145329017826,0.11391561719373608,0.11391561719373608,1.0,0.012785467098217327,0.0
2027,Other energy,True,4.009291546694097,0.96615048745672,0.30159149317372114,0.30159149317372114,1.0,0.033849512543279954,0.0
2027,Land-use CO2,False,3.6591514197647643,0.9614113478807574,0.2750529230770644,0.2750529230770644,1.0,0.03333333333333333,0.005255318785909208
2028,Power,True,12.88481186003089,0.9002582712476395,0.862715623826293,1.5834761452662538,0.8361272344553448,0.03193869821543155,0.025963976999875446
2028,Industry,True,8.873029048550874,0.938799808998519,0.5127894544716509,0.936721425705749,0.9196833466499018,0.03476654942820481,0.0
2028,Road transport,True,5.679489643680763,0.9021917168929855,0.5223165945998614,0.9594946457215672,0.8582806520561946,0.05691891161158231,0.0
