case,year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
low,2026,1.1097296518466333,0.0026369251082940526,2.6369251082940526,0.0009681899232266283,0.0007929449128636357,0.0001994999727784469,0.0006762902994253521,0.22263692510829405
low,2027,1.1370602245069654,0.005347989321995761,2.7110642137017082,0.001963261107769898,0.0016005246934633621,0.0004151425058125241,0.00136906101494998,0.22534798932199576
low,2028,1.1509057791879476,0.008091507833213524,2.743518511217763,0.0029704211665574493,0.0024123350456130843,0.0006387710743741212,0.002069980546668855,0.22809150783321352
low,2029,1.1668837633039406,0.010873914071127588,2.7824062379140644,0.003991959753293389,0.003229772011564741,0.0008718220545596914,0.0027803602517097632,0.2308739140711276
low,2030,1.1779003319789183,0.01367985514027184,2.805941069144252,0.005022420843472528,0.0040490897072558985,0.0011112117673847954,0.003497132822158633,0.23367985514027184
low,2031,1.177742396932628,0.016474985091054162,2.7951299507823215,0.0060495870315097205,0.004862225127968231,0.0013497745917804005,0.00421339833979582,0.23647498509105416
low,2032,1.2002336723384945,0.019328829023082167,2.8538439320280053,0.007098176531541073,0.005685316632557821,0.0016022009661670125,0.004943134892816264,0.23932882902308217
low,2033,1.2123369694961021,0.022209329074087486,2.880500051005319,0.008156792084532155,0.006510787007938126,0.0018618260647078055,0.005679923916909392,0.2422093290740875
low,2034,1.22963018247524,0.025132316596367027,2.922987522279541,0.009231065034855046,0.007342105714494118,0.002132181545447684,0.006426964301570165,0.24513231659636703
low,2035,1.236103370408404,0.02806448807403164,2.9321714776646135,0.010309144272164658,0.008171700304273777,0.002406070809886182,0.007177572687707027,0.24806448807403164
low,2036,1.261517230062767,0.031063885680806286,2.9993976067746453,0.011411680813226577,0.009012327484159685,0.0026964412466958312,0.007943436136724217,0.2510638856808063
low,2037,1.2732729730666816,0.034088427806534954,3.0245421257286687,0.012523700781380445,0.00985455150915436,0.0029940585936900424,0.0087161169223101,0.25408842780653496
low,2038,1.2975303863580843,0.037176362180934924,3.08793437439997,0.013658813624736602,0.010706440464649275,0.0033077816261850163,0.009503326465364056,0.2571763621809349
low,2039,1.2806087586473074,0.04020128472730175,3.024922546366826,0.01477202677470113,0.011540958941819376,0.003608655898060753,0.010279643112720473,0.26020128472730175
low,2040,1.294271846667995,0.0432571714401683,3.0558867128665512,0.01589677173841561,0.012378238275104175,0.003918213198905916,0.011063948227742596,0.2632571714401683
low,2041,1.2972431148602674,0.046311167892376076,3.0539964522077745,0.017021349767540703,0.013211246788708608,0.0042289324707719955,0.011849638865354794,0.2663111678923761
low,2042,1.2869953019562341,0.04932278811863386,3.011620226257783,0.01813134055219738,0.014031403804576667,0.004531487589506528,0.012628556172353297,0.26932278811863386
low,2043,1.2788627783975637,0.05229868306824856,2.975894949614699,0.019229095884533517,0.014840142827322253,0.004827434901469738,0.013402009454923022,0.27229868306824856
low,2044,1.2683849319250537,0.05523180920008444,2.9331261318358837,0.02031209430758954,0.015635954054046608,0.0051152064023686356,0.014168554436079672,0.27523180920008444
low,2045,1.2754456513437717,0.058176088554197064,2.944279354112622,0.021399513520244592,0.016430551772175797,0.005407004397688299,0.014939018864088355,0.27817608855419707
low,2046,1.2753823865872087,0.06110966839273349,2.9335798385364265,0.02248356850706626,0.01721922175774125,0.005697874144608997,0.015709003983316983,0.2811096683927335
low,2047,1.26060202475781,0.06398749980773952,2.877831415006027,0.02354821444768973,0.01799221794854662,0.005977639895183254,0.016469427516319905,0.2839874998077395
