case,approx_2100_rel_1995_2014_m,within_ar6_ssp1_1_9_2100_likely,approx_2300_rel_1995_2014_m,within_ar6_ssp1_2_6_2300_assessed_range
low,0.26356775851743797,False,0.4103269674861129,True
central,0.37935305873030495,True,0.7285029682470661,True
high,0.5458190948530222,True,1.331546221408855,True
