year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
5918,0.2000055350333661,0.18368880015022357,-0.016708485293892572,6.77843060480493e-05,-0.030871957267804936,-0.04019548453916975,0.25468845765115017,0.40368880015022357
5919,0.20000551661397092,0.18367210140336251,-0.01669874686105466,6.759694130388516e-05,-0.030871964571214765,-0.04019549870803544,0.25467196774130885,0.4036721014033625
5920,0.20000549825587152,0.1836554123882669,-0.016689015095605608,6.741009090686922e-05,-0.030871971850320874,-0.04019551283260896,0.25465548698028984,0.4036554123882669
5921,0.20000547995886392,0.18363873309827608,-0.016679289990828572,6.722375345726006e-05,-0.030871979105204145,-0.04019552691302816,0.2546390153630511,0.4036387330982761
5922,0.20000546172274478,0.1836220635267369,-0.016669571539174033,6.703792755909099e-05,-0.03087198633594518,-0.0401955409494305,0.2546225528845535,0.4036220635267369
5923,0.2000054435473115,0.18360540366700315,-0.01665985973375861,6.685261182012847e-05,-0.030871993542624307,-0.040195554941952975,0.25460609953976027,0.40360540366700315
5924,0.20000542543236216,0.18358875351243567,-0.01665015456747687,6.66678048519137e-05,-0.030872000725321605,-0.040195568890732176,0.25458965532363753,0.40358875351243567
5925,0.20000540737769545,0.18357211305640256,-0.016640456033112372,6.648350526970714e-05,-0.030872007884116877,-0.04019558279590428,0.254573220231154,0.40357211305640256
5926,0.20000538938311077,0.18355548229227878,-0.016630764123781727,6.62997116924885e-05,-0.030872015019089656,-0.04019559665760501,0.25455679425728095,0.4035554822922788
5927,0.2000053714484082,0.18353886121344656,-0.016621078832212977,6.611642274297058e-05,-0.03087202213031922,-0.040195610475969715,0.25454037739699253,0.40353886121344656
5928,0.20000535357338842,0.1835222498132951,-0.016611400151467226,6.59336370475716e-05,-0.03087202921788458,-0.04019562425113327,0.25452396964526536,0.4035222498132951
5929,0.20000533575785284,0.18350564808522055,-0.01660172807455007,6.575135323641512e-05,-0.03087203628186448,-0.040195637983230184,0.25450757099707877,0.40350564808522055
5930,0.2000053180016035,0.1834890560226262,-0.016592062594356083,6.556956994328844e-05,-0.0308720433223374,-0.040195651672394514,0.2544911814474148,0.4034890560226262
5931,0.20000530030444316,0.1834724736189223,-0.016582403703890858,6.538828580567035e-05,-0.03087205033938157,-0.04019566531875992,0.2544748009912581,0.4034724736189223
5932,0.20000528266617512,0.18345590086752608,-0.0165727513962155,6.520749946471727e-05,-0.03087205733307495,-0.040195678922459635,0.25445842962359594,0.4034559008675261
5933,0.20000526508660343,0.1834393377618618,-0.016563105664280098,6.502720956522157e-05,-0.030872064303495247,-0.04019569248362649,0.2544420673394183,0.4034393377618618
5934,0.20000524756553276,0.18342278429536077,-0.01655346650103473,6.484741475563938e-05,-0.030872071250719897,-0.0401957060023929,0.2544257141337179,0.40342278429536077
5935,0.20000523010276844,0.183406240461461,-0.01654383389976255,6.466811368807668e-05,-0.030872078174826095,-0.040195719478890876,0.2544093700014899,0.403406240461461
5936,0.2000052126981164,0.1833897062536077,-0.016534207853302618,6.448930501824768e-05,-0.030872085075890773,-0.04019573291325201,0.25439303493773224,0.4033897062536077
5937,0.2000051953513833,0.18337318166525293,-0.016524588354771552,6.431098740548868e-05,-0.0308720919539906,-0.04019574630560748,0.2543767089374455,0.40337318166525293
5938,0.2000051780623764,0.1833566666898557,-0.016514975397230458,6.413315951275811e-05,-0.030872098809201998,-0.040195759656088084,0.254360391995633,0.4033566666898557
5939,0.20000516083090353,0.1833401613208818,-0.016505368973906975,6.395582000660871e-05,-0.03087210564160113,-0.04019577296482419,0.25434408410730047,0.4033401613208818
