case,total_demand_twh_yr,average_load_gw,solar_capacity_gw,wind_capacity_gw,firm_clean_capacity_gw,firm_annual_energy_budget_twh,firm_unused_energy_budget_twh,storage_energy_gwh,storage_power_gw,storage_start_soc_fraction,storage_end_soc_fraction,storage_cyclic_drift_gwh,unserved_energy_twh,unserved_energy_fraction,unserved_hours,max_shortfall_gw,curtailment_twh,firm_generation_twh,storage_charge_input_twh,storage_discharge_to_load_twh,storage_conversion_loss_twh,storage_min_soc_fraction,storage_max_soc_fraction,potential_generation_to_demand_ratio,adequacy_pass,name,solar_energy_share,wind_energy_share,firm_clean_energy_share,vre_overbuild,storage_energy_hours_avg_load,storage_power_multiple_avg_load,roundtrip_efficiency,firm_capacity_factor,warmup_years
Underbuilt VRE / 12h storage,93486.07500000001,10671.926369863015,21588.80559064858,10970.884868561448,1255.5207493956489,9348.607500000002,2683.8818566231744,128063.11643835617,10671.926369863015,0.0,0.0,0.0,6619.957485063715,0.07081223043179119,1398,8986.501925554707,5090.604486999735,6664.72564337675,20348.96344293629,17296.618926496056,3052.3445164404657,-1.4203850836485275e-17,1.0,1.045,False,Underbuilt VRE / 12h storage,0.5,0.4,0.1,1.05,12.0,1.0,0.85,0.85,5
Balanced / 72h storage,93486.07500000001,10671.926369863015,19409.36426435453,10788.036787418756,3138.801873489122,23371.518750000003,6875.679265436863,768378.698630137,13339.907962328769,0.0,0.0,0.0,2822.411316201376,0.030190713603083404,791,7253.059908032409,6437.452339119602,16495.8394845613,14199.332244297831,12069.43240765315,2129.899836644671,-1.1836542363737728e-18,1.0,1.1349999999999998,False,Balanced / 72h storage,0.4,0.35,0.25,1.18,72.0,1.25,0.85,0.85,5
Firm-rich / 48h storage,93486.07500000001,10671.926369863015,13816.835578015092,7313.923245707633,5649.84337228042,42068.73375000001,9762.233375399413,512252.4657534247,12806.311643835617,0.0,0.0,0.0,5582.86081209216,0.05971863523088502,2208,5488.898877630918,1222.8181825598772,32306.50037460345,5119.26802755691,4351.37782342338,767.8902041335367,-8.877406772803297e-19,1.0,1.066,False,Firm-rich / 48h storage,0.3,0.25,0.45,1.12,48.0,1.2,0.85,0.85,5
VRE-heavy / 7d storage,93486.07500000001,10671.926369863015,25084.13601961073,12747.123371090445,1255.5207493956489,9348.607500000002,3007.2893237914172,1792883.6301369865,13339.907962328769,0.34005898921454053,0.34005898921454053,0.0,38.54848937773047,0.0004123447195502695,14,4195.18023122617,12032.95703341358,6341.318176208507,23390.299881149218,19881.754898976622,3508.5449821723655,-1.268200967543328e-19,1.0,1.198,False,VRE-heavy / 7d storage,0.5,0.4,0.1,1.22,168.0,1.25,0.85,0.85,5
