case,frontier_found,minimum_vre_overbuild,storage_hours,firm_clean_energy_share,solar_energy_share,wind_energy_share,required_solar_capacity_gw,required_wind_capacity_gw,firm_clean_capacity_gw,storage_energy_gwh,curtailment_twh,unserved_energy_fraction,potential_generation_to_demand_ratio
Underbuilt VRE / 12h storage,True,1.54217529296875,12.0,0.1,0.5,0.4,31708.307225337012,16113.359606000171,1255.5207493956489,128063.11643835617,39980.09267163598,9.98941526431098e-05,1.487957763671875
Balanced / 72h storage,True,1.35040283203125,72.0,0.25,0.4,0.35,22212.25463602585,12345.928330328474,3138.801873489122,768378.698630137,14932.360375454684,9.887990915707844e-05,1.2628021240234375
Firm-rich / 48h storage,True,1.53240966796875,48.0,0.45,0.3,0.25,18904.51108971868,10007.07740402121,5649.84337228042,512252.4657534247,12738.788493496175,9.837076714145451e-05,1.2928253173828126
VRE-heavy / 7d storage,True,1.22125244140625,168.0,0.1,0.5,0.4,25109.887175832835,12760.209457254814,1255.5207493956489,1792883.6301369865,12107.04560743024,9.911395844921702e-05,1.199127197265625
