year,net_anthropogenic_gtco2,co2_ppm,alpha_lifetime,iirf100_years,iirf100_capped_years,cumulative_net_emissions_gtc,airborne_gtc,cumulative_uptake_gtc
2026,42.2,429.1774375141945,0.569969868774202,45.939534883838206,45.939534883838206,768.0174672489082,320.94969984263497,447.0677674062733
2027,40.434197813032064,429.8625444942913,0.5830637428034307,46.19874996524978,46.19874996524978,779.0530015865262,322.40418196138046,456.64881962514573
2028,38.15191317560693,430.5984973176406,0.5954990088827175,46.43959289035787,46.43959289035787,789.4656416453709,323.96660980535097,465.4990318400199
2029,35.29756127638274,431.24275407360096,0.6074055926589274,46.66552896257276,46.66552896257276,799.0992555308464,325.3343668982548,473.76488863259164
2030,31.84270052294398,431.6812439295454,0.6188253447217308,46.87810405013224,46.87810405013224,807.7899489050124,326.26528086242496,481.5246680425874
2031,28.049108570291843,431.8522173077698,0.6297493823485181,47.077811899186166,47.077811899186166,815.4452732964676,326.6282573443954,488.81701595207215
2032,23.932276618433832,431.7062847304955,0.6401396434503819,47.26457272587358,47.26457272587358,821.9770081814113,326.318442482842,495.6585656985693
2033,19.72896676322737,431.22971396179855,0.6499488131726688,47.438127487717594,47.438127487717594,827.3615515119865,325.3066827408983,502.0548687710882
2034,15.593212700046195,430.4297920607172,0.6591316811752448,47.59824340888187,47.59824340888187,831.6173410043572,323.60844854490267,508.0088924594545
2035,11.775009924679441,429.34441339981385,0.6676575131430706,47.74491845242067,47.74491845242067,834.8310445864204,321.30418964780483,513.5268549386155
2036,7.666915325579282,427.9347211835544,0.6754947551293453,47.878104380172005,47.878104380172005,836.9235433106505,318.3114130726861,518.6121302379645
2037,3.5648154051288845,426.2024215703707,0.6826144857165183,47.99776417097326,47.99776417097326,837.8964732792992,314.63374099389694,523.2627322854023
2038,-0.25747452542202787,424.18295653292364,0.6889943539343806,48.10393371925461,48.10393371925461,837.8262018476885,310.3464167193969,527.4797851282915
2039,-3.6444819522818843,421.9283486958665,0.6946297530121476,48.1968997658211,48.1968997658211,836.8315288257775,305.5598842813246,531.2716445444528
2040,-6.530150717702193,419.49546536550605,0.6995373808680069,48.277247564191114,48.277247564191114,835.0492824508588,300.39487297096935,534.6544094798894
2041,-8.924728382039383,416.93690368885086,0.7037527583277368,48.34581307354501,48.34581307354501,832.6134941369834,294.9630465314304,537.6504476055529
2042,-10.918345757812585,414.292040893644,0.7073237152562137,48.40357616025959,48.40357616025959,829.6335962773184,289.3480028172063,540.2855934601121
2043,-12.521762886407743,411.5981120188238,0.7103059531252792,48.451593216618605,48.451593216618605,826.2160845725127,283.628791815963,542.5872927565497
2044,-13.077638182879742,408.9723469068572,0.7127810601126436,48.49129210659025,48.49129210659025,822.646860177622,278.05429248325777,544.5925676943642
2045,-13.318589843966956,406.43511316085517,0.714835980753855,48.524146922340414,48.524146922340414,819.0118738664956,272.66774524049555,546.3441286260002
2046,-13.473981370039173,403.9798050215195,0.7159825249207519,48.5424372606458,48.5424372606458,815.3344772043671,267.45512606068587,547.8793511436812
2047,-13.606432565526912,401.5958015086186,0.7164326257374458,48.549609525426504,48.549609525426504,811.6209311984918,262.39388660279724,549.2270445956946
2048,-13.656904482268045,399.28288267300024,0.7163464304982872,48.54823637075161,48.54823637075161,807.8936101061697,257.4835599147795,550.4100501913902
2049,-13.673983397886552,397.03653855146206,0.7158442108194428,48.54023234795092,48.54023234795092,804.1616277377509,252.71457134475398,551.447056392997
2050,-13.684871285891186,394.8505749756725,0.7150160935121194,48.527022127072144,48.527022127072144,800.426673784178,248.07377067335273,552.3529031108253
2051,-13.7,392.71897780844694,0.7139287492314175,48.50965343571587,48.50965343571587,796.6875908147457,243.54838988733292,553.1392009274127
2052,-13.7,390.63927914875285,0.7126318546003497,48.488902867645194,48.488902867645194,792.9485078453134,239.13318963280227,553.8153182125111
2053,-13.7,388.60782999929495,0.7111623205569989,48.465344347917096,48.465344347917096,789.2094248758812,234.82042308850325,554.3890017873779
2054,-13.7,386.62162985216344,0.7095478085585927,48.43940545765507,48.43940545765507,785.4703419064489,230.60372017614304,554.8666217303058
2055,-13.7,384.67816363716804,0.7078090592613276,48.411404468219615,48.411404468219615,781.7312589370166,226.47774140170773,555.2535175353089
2056,-13.7,382.7752827569167,0.705961787656149,48.38158036562097,48.38158036562097,777.9921759675843,222.43792529293412,555.5542506746502
2057,-13.7,380.91111795289635,0.7040180607712134,48.35011462082904,48.35011462082904,774.253092998152,218.48030341399897,555.7727895841531
2058,-13.7,379.0840152528663,0.7019872972929181,48.31714696440752,48.31714696440752,770.5140100287198,214.6013643818352,555.9126456468846
2059,-13.7,377.2924887113245,0.6998769915123145,48.28278680667598,48.28278680667598,766.7749270592875,210.79795353414195,555.9769735251456
2060,-13.7,375.53518540096667,0.6976932366613555,48.24712149689933,48.24712149689933,763.0358440898552,207.06719860625225,555.968645483603
2061,-13.7,373.81085936180256,0.6954411025418379,48.21022228962684,48.21022228962684,759.296761120423,203.40645442510683,555.8903066953161
2062,-13.7,372.1183521131301,0.6931249075259208,48.17214864954069,48.17214864954069,755.5576781509907,199.81326153617522,555.7444166148155
2063,-13.7,370.4565779831248,0.6907484141329351,48.13295135377852,48.13295135377852,751.8185951815584,196.28531505817404,555.5332801233844
2064,-13.7,368.8245129820139,0.6883149694261642,48.09267472513602,48.09267472513602,748.0795122121261,192.8204410608156,555.2590711513105
2065,-13.7,367.22118628753145,0.6858276056551813,48.05135823811938,48.05135823811938,744.3404292426939,189.4165784884293,554.9238507542645
2066,-13.7,365.645673661109,0.6832891123241744,48.00903767325592,48.00903767325592,740.6013462732616,186.07176518253448,554.5295810907271
2067,-13.7,364.0970922955264,0.6807020877742278,47.96574594664661,47.96574594664661,736.8622633038293,182.78412694340253,554.0781363604268
2068,-13.7,362.5745967279063,0.6780689761182117,47.92151370654432,47.92151370654432,733.123180334397,179.551868853345,553.571311481052
2069,-13.7,361.0773755492967,0.6753920937337011,47.876369763181664,47.876369763181664,729.3840973649648,176.37326829115688,553.0108290738078
2070,-13.7,359.6046487133111,0.6726736483354088,47.83034139953346,47.83034139953346,725.6450143955325,173.24666921835956,552.3983451771729
2071,-13.7,358.15566529843227,0.6699157527920789,47.78345459727329,47.78345459727329,721.9059314261002,170.17047742857176,551.7354539975285
2072,-13.7,356.7297016167614,0.6671204352343078,47.735734202475555,47.735734202475555,718.1668484566679,167.14315653238444,551.0236919242835
