case,year,planned_cdr_gtco2,feasible_cdr_gtco2,food_cropland_mha,food_pasture_mha,food_irrigation_requirement_km3_yr,food_irrigation_withdrawal_km3_yr,remaining_agricultural_land_mha,cdr_land_mha,incremental_cdr_blue_water_km3_yr,incremental_blue_water_screen_km3_yr,water_utilization_fraction,restoration_et_increment_diagnostic_km3_yr,boreal_albedo_stress_global_forcing_w_m2,land_scale,water_scale,binding
central,2043,15.2,15.2,1371.1559971813344,2694.9642638350015,1125.949267758395,2006.44159514546,733.8797389836641,364.1666666666667,35.62500000000001,183.0,0.19467213114754103,285.0,0.0012850421485983141,1.0,1.0,False
central,2050,15.2,15.2,1301.3560834675802,2459.5629977537264,1016.684440209047,1811.731672452522,1039.0809187786936,364.1666666666667,35.62500000000001,183.0,0.19467213114754103,285.0,0.0012850421485983141,1.0,1.0,False
central,2085,15.2,15.2,1470.771976796073,2779.7590361445777,1149.0406068719321,2047.590361445783,549.4689870593493,364.1666666666667,35.62500000000001,183.0,0.19467213114754103,285.0,0.0012850421485983141,1.0,1.0,False
low_efficiency,2043,15.2,11.89386378708694,1546.7465956904323,3058.5705534000413,1400.4747848303714,2495.646066567722,194.68285090952668,194.68285090952668,42.322358893375366,150.0,0.2821490592891691,228.54073802422695,0.0013739624843644303,0.4276785740804247,1.0,True
low_efficiency,2050,15.2,13.010787068044053,1527.6788805923768,2986.6122115580965,1363.9990005289078,2430.6462189425138,285.70890784952644,285.70890784952644,62.11063214120141,150.0,0.4140708809413427,335.39741356248754,0.002016373393958626,0.6276442826900351,1.0,True
low_efficiency,2085,15.2,9.5,1726.5584075432164,3375.4216867469877,1541.5700067350144,2747.077752001796,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,1.0,True
high_efficiency,2043,15.2,15.2,1263.5729881717223,2452.560070791641,949.2618442024625,1691.584606368788,1083.8669410366365,303.47222222222223,16.49305555555556,220.0,0.07496843434343436,178.125,0.0005354342285826309,1.0,1.0,False
high_efficiency,2050,15.2,15.2,1171.2204751208221,2108.19685521748,813.3475521672375,1449.3853379620173,1520.5826696616978,303.47222222222223,16.49305555555556,220.0,0.07496843434343436,178.125,0.0005354342285826309,1.0,1.0,False
high_efficiency,2085,15.2,15.2,1323.6947791164657,2382.6506024096384,919.2324854975457,1638.072289156626,1093.6546184738959,303.47222222222223,16.49305555555556,220.0,0.07496843434343436,178.125,0.0005354342285826309,1.0,1.0,False
